ID,Reported_On,Additional_Reporting,Retrieve_from_1,Retrieve_from_2,Retrieve_from_3,Twitter_Reference,Direct_Post_1,Direct_Post_2,Direct_Post_3,Direct_Post_4,Title,Publication_Date,Entry_Date,Primary_Country,Secondary_Country,Primary_Language,Secondary_Language,Main_Narrative,Recoded_Main_Narrative,Recoded_Narrative_Coder,Narrative_Description,ChainMsg_or_Email,Motive,Motive_Description,Source,Source_Description,Distrib_Channel,Misinfo_Type,Key_Words,Summary,Coder,Notes
57,http://www.ecuadorchequea.com/las-mentiras-sobre-el-covid-19-en-ecuador/?fbclid=IwAR3bwAz0dMLw03No-V2hs3mNm5Nvl8V_p0AnNV7GbLCEh9do16WHgMrsBiE,,http://www.ecuadorchequea.com/las-mentiras-sobre-el-covid-19-en-ecuador/?fbclid=IwAR3bwAz0dMLw03No-V2hs3mNm5Nvl8V_p0AnNV7GbLCEh9do16WHgMrsBiE,,,0,,,,,Yaku Pérez busca curar el coronavirus con medicina ancestral,5-Mar-20,17-Jun-20,Ecuador,,Spanish,,Other,,,"A lie was spread that Yak Pérez, an indegnous leader in Ecuador, was trying to cure coronavirus using ancient medicine",0,Politics,Effort to slander/undermine the indigenous leader Yaku Pérez,Individual actor,General public ,Generic social media,False reporting,"Coronavirus, Yaku Pérez, medicina ancestral",A fake claim was spread that Yaku Pérez was trying to cure coronavirus using ancient medicine,Jacob,-
58,http://www.ecuadorchequea.com/las-mentiras-sobre-el-covid-19-en-ecuador/?fbclid=IwAR3bwAz0dMLw03No-V2hs3mNm5Nvl8V_p0AnNV7GbLCEh9do16WHgMrsBiE,,http://www.ecuadorchequea.com/las-mentiras-sobre-el-covid-19-en-ecuador/?fbclid=IwAR3bwAz0dMLw03No-V2hs3mNm5Nvl8V_p0AnNV7GbLCEh9do16WHgMrsBiE,,,0,,,,,Quito es la segunda cuidad con mas alta probabilidad de contagio,10-Mar-20,17-Jun-20,Ecuador,,Spanish,,Other,,,A story was spread that Quito had a high risk level of coronavirus which is not true,0,Fear,Effort to frighten residents of Quito ,Media,Ciudadano Critico,Facebook,False reporting,"Coronavirus, #COVID19, Adoptadas, Exposiciones",A fake claim that Quito had a high risk of infection,Jacob,-
59,http://www.ecuadorchequea.com/las-mentiras-sobre-el-covid-19-en-ecuador/?fbclid=IwAR3bwAz0dMLw03No-V2hs3mNm5Nvl8V_p0AnNV7GbLCEh9do16WHgMrsBiE,,http://www.ecuadorchequea.com/las-mentiras-sobre-el-covid-19-en-ecuador/?fbclid=IwAR3bwAz0dMLw03No-V2hs3mNm5Nvl8V_p0AnNV7GbLCEh9do16WHgMrsBiE,,,1,,,,,En redes sociales circula una noticia en la cual manifesta que ladrones disfrazados de médicos de las Cruz Roja Ecuatoriana usan el #COVID-19 como excusa para entrar a las casas y robar,5-Mar-20,17-Jun-20,Ecuador,,Spanish,,Other,,,A report said people were dressing up like Red Cross members and robbing homes,0,Fear,Effort to frighten  ,Individual actor,General public,Generic social media,False reporting,"Coronavirus, #COVID-19, Ladrones, Robar, ",A fake story was spread that robbers were dressing as red cross doctors and stealing,Jacob,-
60,http://www.ecuadorchequea.com/las-mentiras-sobre-el-covid-19-en-ecuador/?fbclid=IwAR3bwAz0dMLw03No-V2hs3mNm5Nvl8V_p0AnNV7GbLCEh9do16WHgMrsBiE,,http://www.ecuadorchequea.com/las-mentiras-sobre-el-covid-19-en-ecuador/?fbclid=IwAR3bwAz0dMLw03No-V2hs3mNm5Nvl8V_p0AnNV7GbLCEh9do16WHgMrsBiE,,,0,,,,,Cadena en WhatsApp asegura que el médicos italianos recomiendan quitarse los zapatos al llegar a casa,7-Mar-20,18-Jun-20,Ecuador,,Spanish,,False cures and preventative measures,,,Chain message that taking shoes off in the house prevents the virus,1,False Hope,False remedy,Individual actor,General public,WhatsApp,Fake remedy,"Coronavirus, Zapatos, cassa, Cadena, dejarlo",Chain message on WhatsApp that Italian doctors recommended taking shoes off when you get home to prevent spreading the virus,Jacob,-
61,http://www.ecuadorchequea.com/las-mentiras-sobre-el-covid-19-en-ecuador/?fbclid=IwAR3bwAz0dMLw03No-V2hs3mNm5Nvl8V_p0AnNV7GbLCEh9do16WHgMrsBiE,,http://www.ecuadorchequea.com/las-mentiras-sobre-el-covid-19-en-ecuador/?fbclid=IwAR3bwAz0dMLw03No-V2hs3mNm5Nvl8V_p0AnNV7GbLCEh9do16WHgMrsBiE,,,0,,,,,No existen casoss de contagio en Israel porque toman bebidas calientes,16-Mar-20,18-Jun-20,Ecuador,,Spanish,,False cures and preventative measures,,,Drinking hot drinks can prevent coronavirus,1,False Hope,False remedy,Individual actor,General public,WhatsApp,Fake remedy,"Coronavirus, Israel, calientes, contagio",Chain message that Israel has no cases of coronacirus beccause they drink lots of hot beverages,Jacob,-
62,https://factual.afp.com/la-feria-nacional-de-san-marcos-2020-celebrada-en-abril-en-mexico-no-ha-sido-cancelada-por-el-nuevo,,https://perma.cc/9UK8-CYS2,,,0,https://www.facebook.com/ultimasnoticiasAGS/photos/a.113800820154051/120327472834719/,https://www.facebook.com/miguel.moonts.52/posts/589218055142497,https://www.facebook.com/AquiPurasNortenasAgss/photos/a.431290547627993/638849733538739/,,"La Feria Nacional de San Marcos 2020, celebrada en abril en México, no ha sido cancelada por el nuevo coronavirus",7-Feb-20,18-Jun-20,Mexico,,Spanish,,Emergency responses,,,National holiday was canceled in Mexico due to coronavirus,0,Fear,Spread fear of seriousness of coronavirus,Individual actor,"Facebook accounts Ultimas noticias de Aguascalientes, Miguel Moonts, Chaska Noticias, Aqui puras Norteñas aguascalientes Oficcial",Facebook,False reporting,"Coronavirus, Mexico, San Marcos, holiday, Aguas Calientes, canceled",Claim circulated in Mexico that the national holiday of San Marcos was canceled due to mounting coronavirus cases.,Nicola,-
63,http://www.ecuadorchequea.com/las-mentiras-sobre-el-covid-19-en-ecuador/?fbclid=IwAR3bwAz0dMLw03No-V2hs3mNm5Nvl8V_p0AnNV7GbLCEh9do16WHgMrsBiE,,http://www.ecuadorchequea.com/las-mentiras-sobre-el-covid-19-en-ecuador/?fbclid=IwAR3bwAz0dMLw03No-V2hs3mNm5Nvl8V_p0AnNV7GbLCEh9do16WHgMrsBiE,,,0,,,,,Respirar al aire de Guayaquil provoca contagio de COVID19,19-Mar-20,18-Jun-20,Ecuador,,Spanish,,Origin of the virus,,,Fake story that anyone who walks through Guayaquil will get coronavirus,0,Fear,Fear mongering,Individual actor,General public,Generic social media,False reporting,"Coronavirus, Guayaquil,  contagio",False claim circulated that anyone who breathed any air in Guayaquil would contract the virus.,Jacob,-
64,http://www.ecuadorchequea.com/las-mentiras-sobre-el-covid-19-en-ecuador/?fbclid=IwAR3bwAz0dMLw03No-V2hs3mNm5Nvl8V_p0AnNV7GbLCEh9do16WHgMrsBiE,,http://www.ecuadorchequea.com/las-mentiras-sobre-el-covid-19-en-ecuador/?fbclid=IwAR3bwAz0dMLw03No-V2hs3mNm5Nvl8V_p0AnNV7GbLCEh9do16WHgMrsBiE,,,0,,,,,Lenín Moreno se niega a pedir ayuda a China,17-Mar-20,18-Jun-20,Ecuador,,Spanish,,Emergency responses,,,Claim the Lenín Moreno would not ask China for help in addressing coronavirus,0,Politics,Discredit Lenín Moreno,Individual actor,General public,Generic social media,False reporting,"Coronavirus, Moreno, China, Ayuda","False claim that Moreno refused to seek help from China, when he in fact did.",Jacob,-
65,https://maldita.es/malditobulo/2020/02/10/no-no-se-ha-confirmado-un-caso-de-nuevo-coronavirus-en-andorra-a-9-de-febrero-de-2020-no-es-un-articulo-real-de-la-vanguardia/,,https://maldita.es/malditobulo/2020/02/10/no-no-se-ha-confirmado-un-caso-de-nuevo-coronavirus-en-andorra-a-9-de-febrero-de-2020-no-es-un-articulo-real-de-la-vanguardia/,,,0,,,,,"No, no se ha confirmado un caso de nuevo coronavirus en Andorra a 9 de febrero de 2020: no es un artículo real de 'La Vanguardia'",10-Feb-20,19-Jun-20,Andorra,Spain,Spanish,,COVID-19 status of individuals,,,First case of coronavirus was diagnosed in Andorra,1,Fear,Spread fear of contagion,Individual actor,General public,Generic social media,False reporting,"Coronavirus, Andorra, first, case, La Vanguardia","False screenshot of newspaper La Vanguardia's page circulated showing that the first case of coronavirus had been found in Andorra as of February 9, 2020.",Nicola,-
66,https://maldita.es/malditobulo/2020/02/12/nino-chino-coronavirus-hospital-galicia/,,https://maldita.es/malditobulo/2020/02/12/nino-chino-coronavirus-hospital-galicia/,,,0,,,,,"No, no hay un niño que viene de China que ha dado positivo en coronavirus en un hospital como dice este audio en gallego (a 12/2/20)",10-Feb-20,19-Jun-20,Spain,,Galician,,COVID-19 status of individuals,,,"Chinese kid tested positive to coronavirus in Galicia, Spain",1,Fear,Spread fear of contagion in the region,Individual actor,General public,WhatsApp,False reporting,"Coronavirus, Galicia, Chinese, kid, test, positive, hospital","WhatsApp audio in Galician circulated claiming that a Chinese kid had tested positive in a hospital in Galicia, Spain.",Nicola,-
