ID,Reported_On,Retrieved_from_1,Additional_Reporting,Twitter_Reference,Direct_Post_1,Direct_Post_2,Direct_Post_3,Direct_Post_4,Direct_Post_5,Direct_Post_6,Direct_Post_7,Direct_Post_8,Direct_Post_9,Direct_Post_10,Direct_Post_11,Direct_Post_12,Direct_Post_13,Direct_Post_14,Direct_Post_15,Direct_Post_16,Title,Publication_Date,Entry_Date,Country,Primary_Language,Secondary_Language,Main_Narrative,Narrative_Description,ChainMsg_or_Email,Motive,Motive_Descripion,Source,Source_Description,Distrib_Channel,Misinfo_Type,Key_Words,Summary,Coder,Notes
AFP-I11,https://factcheck.afp.com/indian-health-experts-say-there-no-evidence-link-between-novel-coronavirus-transmission-and-specific,https://factcheck.afp.com/indian-health-experts-say-there-no-evidence-link-between-novel-coronavirus-transmission-and-specific,,1,https://www.facebook.com/manohar.rai.1466/videos/754998081576158/,https://www.facebook.com/thinkninety/videos/519815471980579/,https://www.facebook.com/105379864330828/videos/171403797502303/,https://www.facebook.com/kholkumbe.sanjiv/videos/490511031849887/,https://twitter.com/IAmWithModiJi/status/1222030047780966400,https://twitter.com/Rambala74548285/status/1222443262482366465,https://perma.cc/RB77-7ZGX,https://www.facebook.com/ramesh0033/videos/2647935085262376/,,,,,,,,,Indian health experts say there is no evidence of link between novel coronavirus transmission and specific food items,05-Feb-2020,23-Apr-2020,India,English,,Nature of the virus,The coronavirus can be spread through a worm found in food and drinks,0,Fear,Stoke fear among people ,Individual actor,General public,"Twitter, Facebook, YouTube",False reporting,"Coronavirus, worm, food, drink","Messages circulating on social media spread a false rumor that coronavirus was spreading through a worm, being found in certain foods and drinks, which people should avoid consuming",Kamya,-
AFP-I12,https://factcheck.afp.com/indian-health-ministry-said-it-did-not-issue-emergency-warning-text-message,https://factcheck.afp.com/indian-health-ministry-said-it-did-not-issue-emergency-warning-text-message,,1,https://www.facebook.com/TheGreatAmritsar/posts/2951335248251851,https://www.facebook.com/dr.jitendrasinghofficial/posts/779387252540603,https://www.facebook.com/inndrathepower/posts/1493194730832561,https://www.facebook.com/THEDOCTORSAABtds/posts/1012412532479192,https://twitter.com/siddharthlekhu/status/1222428529184235520,https://twitter.com/AdilShahryar2/status/1222126009190944768,,,,,,,,,,,The Indian Health Ministry said it did not issue this 'emergency warning' via text message,06-Feb-2020,23-Apr-2020,India,English,Punjabi,False cures and preventative measures,The coronavirus was spreading in India rapidly and the Indian Health Ministry had prescribed certain precautions to prevent catching the virus,0,Fear,Stoke fear and also provide false hope through fake precautions and cures,Individual actor,General public,"Twitter, Facebook, YouTube",False reporting,"Coronavirus, Indian Health Ministry",A message circulated under fake authority of the Indian Health Ministry claimed severity and fatality of the virus and claimed that certain precautionary methods could be taken to prevent catching the virus,Kamya,-
AFP-I13,https://factcheck.afp.com/video-shows-workmen-uncovering-bat-infested-roof-us-state-florida-2011,https://factcheck.afp.com/video-shows-workmen-uncovering-bat-infested-roof-us-state-florida-2011,,1,https://www.facebook.com/nc.mngangcha/posts/599621407259113,https://www.facebook.com/lavateraj/posts/3072441126100301,https://www.facebook.com/rima.girkar222/posts/3068310766727985,https://www.facebook.com/ksuruli.velu/posts/1498511356971468,https://twitter.com/Kjbhat1/status/1223973667576537088,https://twitter.com/Maheen83086711/status/1223990127917256704,,,,,,,,,,,This video shows workmen uncovering a bat-infested roof in the US state of Florida in 2011,07-Feb-2020,23-Apr-2020,India,English,,Origin of the virus,"Chrysanthemum bats were the origin of the virus in Hubei, China",0,Other,Pin origin of the virus on bat infestations in China,Individual actor,General public,"Twitter, Facebook",False reporting,"Coronavirus, bats, Hubei, China","An image of bat infestation was circulated with the false claim that the coronavirus originated due to bats in Hubei, China",Kamya,-
AFP-I14,https://factcheck.afp.com/indian-officials-say-novel-coronavirus-has-not-been-found-poultry,https://factcheck.afp.com/indian-officials-say-novel-coronavirus-has-not-been-found-poultry,,1,https://www.facebook.com/hindustan.network/posts/2663723110565565,https://www.facebook.com/AllUpazamgarh/posts/1572169916271720,https://www.facebook.com/ahmed.ataur/posts/2563644753763123,https://www.facebook.com/mraheesh/posts/3242563835758631,https://twitter.com/irfanuddinkamil/status/1224051272652713984,https://twitter.com/Jaunpuri__Nawab/status/1224333756154241024,,,,,,,,,,,Indian officials say novel coronavirus has not been found in poultry,11-Feb-2020,23-Apr-2020,India,Hindi,English,Nature of the virus,Coronavirus was found in poultry,0,Fear,Make people afraid of consuming poultry,Individual actor,General public,"Twitter, Facebook",False reporting,"Coronavirus, poultry",Fake rumors circulated claiming that coronavirus is found in poultry,Kamya,-
AFP-I15,https://factcheck.afp.com/indian-health-authorities-dismiss-hoax-report-novel-coronavirus-case-east-indian-state,https://factcheck.afp.com/indian-health-authorities-dismiss-hoax-report-novel-coronavirus-case-east-indian-state,https://factcheck.afp.com/indian-health-authority-refutes-hoax-report-coronavirus-case-uttar-pradesh-district,1,https://perma.cc/5FVE-U7X6,https://www.facebook.com/groups/237677627013173/permalink/615305765917022/,https://twitter.com/imasifnawaz/status/1225638089395036161,https://www.facebook.com/amit.raaz.37/posts/2500546266734588,https://www.facebook.com/groups/1062610420778361/permalink/1064016113971125/,https://perma.cc/X4KS-EYS5,https://perma.cc/JDP2-3JHK,https://www.facebook.com/niki.sisondiya/posts/3110138452545104,https://www.facebook.com/santosh.chauhah.9/posts/212780116519045,https://www.facebook.com/pradeep.chaurasiya.355744/posts/467486000802560,https://twitter.com/SHIVAMR19706234/status/1226349040654139392,https://www.facebook.com/raju.ray.3152/posts/1848849548580424,,,,,Indian health authorities dismiss hoax report of novel coronavirus case in east Indian state,17-Feb-2020,23-Apr-2020,India,Hindi,,COVID-19 status of individuals,Emergence of the first cases of coronavirus in different regions,1,Fear,Make people afraid of the presence of coronavirus,Individual actor,General public,"Twitter, Facebook, WhatsApp",False reporting,"Coronavirus, Bihar, Purnea, Uttar Pradesh, meat, fish","Multiple rumors emerged from different parts of the country at different times (cited here: Bihar, Uttar Pradesh) of the emergence of patient zero in the states. Posts also claimed that doctors were advising people to not consume fish or meat products",Kamya,-
AFP-I16,https://factcheck.afp.com/experts-india-refute-misleading-claim-china-made-holi-festival-goods-are-infected-coronavirus,https://factcheck.afp.com/experts-india-refute-misleading-claim-china-made-holi-festival-goods-are-infected-coronavirus,,1,https://perma.cc/Q5A8-4JSP,https://www.facebook.com/dilipvinita.jain/posts/803039270177490,https://www.facebook.com/thesitamarhiofficial11/posts/548321966030851,https://perma.cc/8SJX-F3UG,https://www.facebook.com/mediamafia420/posts/2938421886219929,https://twitter.com/funnydrugs/status/1228609388446793728,https://twitter.com/bajpaianil6051/status/1228008589643505664,,,,,,,,,,Experts in India refute misleading claim that China-made Holi festival goods are infected with coronavirus,27-Feb-2020,23-Apr-2020,India,Hindi,,Other,China sent over goods related to an Indian festival that were riddled with the coronavirus,0,Politics,Discredit and blame China,Individual actor,General public,"Twitter, Facebook",Conspiracy,"Coronavirus, Holi, China",Fake rumors circulated claiming that China had sent over goods to India that had the coronavirus on them,Kamya,-
AFP-I17,https://factcheck.afp.com/unicef-officials-refute-false-claim-agency-released-coronavirus-prevention-guidelines,https://factcheck.afp.com/unicef-officials-refute-false-claim-agency-released-coronavirus-prevention-guidelines,,1,,,,,,,,,,,,,,,,,UNICEF officials refute false claim that agency released coronavirus prevention guidelines,10-Mar-2020,23-Apr-2020,"India, Sri Lanka, Philippines, Malaysia",English,,False cures and preventative measures,UNICEF released guidelines to prevent the coronavirus,1,Help,Make people think there are precautionary and preventative measures for coronavirus,Individual actor,General public,Facebook,False reporting,"Coronavirus, UNICEF, guidelines, preventative measures","In India, a message and image of fake UNICEF guidelines was circulated that contained numerous false claims about the nature of the virus and false methods of preventing it, that sometimes also downplayed the severity of the virus",Kamya,-
AFP-I18,https://factcheck.afp.com/these-photos-show-indias-annual-cow-dung-festival-october-2019-weeks-coronavirus-outbreak,https://factcheck.afp.com/these-photos-show-indias-annual-cow-dung-festival-october-2019-weeks-coronavirus-outbreak,,1,https://www.facebook.com/agraxpress/posts/146718193469831,https://twitter.com/Musleuddinsk11/status/1235467099276898305,https://twitter.com/Anjali_Dobwal1/status/1235437330728542208,https://perma.cc/W6ZK-XN4E,https://www.facebook.com/JKMeghvanshi1208/posts/534207797230720,https://www.facebook.com/mohdshamshad.manzari/posts/493972571282149,,,,,,,,,,,These photos show India’s annual cow dung festival in October 2019 -- weeks before the coronavirus outbreak,19-Mar-2020,23-Apr-2020,India,Hindi,,False cures and preventative measures,Bathing in cow dung will prevent coronavirus,0,False Hope,Make people believe a ridiculous claim that cow dung can prevent the virus,Individual actor,General public,"Twitter, Facebook",False reporting,"Coronavirus, cow dung, India",Old images of the cow dung festival from October 2019 were shared as people bathing in cow dung to prevent the coronavirus,Kamya,-
AFP-I19,https://factcheck.afp.com/footage-has-circulated-reports-about-conditions-covid-19-ward-hospital-mumbai,https://factcheck.afp.com/footage-has-circulated-reports-about-conditions-covid-19-ward-hospital-mumbai,,1,https://www.facebook.com/theparpanch/videos/792925527779308/,https://twitter.com/PramodK72506489/status/1266358728191807490,,,,,,,,,,,,,,,This footage has circulated in reports about conditions in a COVID-19 ward at a hospital in Mumbai,05-Jun-2020,12-Jun-2020,India,Hindi,English,Other,Mismanagement of patients at Delhi hospitals treating COVID-19 patients,0,Politics,Blame Delhi government for bad management of patients at hospitals,Individual actor,General public,"Twitter, Facebook",False reporting,"Coronavirus, Delhi, Arvind Kejriwal, hospitals","A misleading video of a hospital with dead bodies lying around was peddled as a Delhi hospital, when it was a hospital in Mumbai",Kamya,
AFP-I20,https://factcheck.afp.com/misinformation-circulates-about-resignation-nurses-indian-hospital-during-pandemic,https://factcheck.afp.com/misinformation-circulates-about-resignation-nurses-indian-hospital-during-pandemic,,1,https://www.facebook.com/777836699247639/posts/1074542519577054,https://twitter.com/JakhatDev/status/1256036719817904128,,,,,,,,,,,,,,,Misinformation circulates about resignation of nurses at Indian hospital during pandemic,19-May-2020,12-Jun-2020,India,Hindi,,Other,Nurses resigned from hospital during the pandemic due to mistreatment by Muslim patients,0,Other,Communalize the issue,Individual actor,General public,"Twitter, Facebook",False reporting,"Coronavirus, Tablighi Jamaat, nurses, resignation, hospital",A news bulletin was misrepresented and circulated online to claim that nurses had resigned at an Indian hospital due to mistreatment by Muslim patients,Kamya,
